"lineage","country","year_first","year_last","n_seqs","parent"
"Cosmopolitan AM3a_A1","Brazil","1985","2005",1,"Cosmopolitan_A1.3.2"
"Cosmopolitan AM3b_A1.2","Brazil, Mexico, Argentina","1999","2010",30,"Cosmopolitan AM3b_A1"
"Cosmopolitan_A1","Mexico, China, Russia, Grenada, Peru, Brazil, -, Japan, Nigeria, Gabon","1931","2020",0,"Cosmopolitan"
"Cosmopolitan_A1.3.1","-, China, United States, France, Ethiopia, India, Japan, Egypt, Mexico","1939","2019",1,"Cosmopolitan_A1.3"
"Cosmopolitan_A1.3.2","-, Brazil, United States, Argentina, Paraguay","1986","2018",24,"Cosmopolitan_A1.3"
"Cosmopolitan_B1.1.1","-, Equatorial Guinea, Gabon, Cameroon, Russia","1986","2012",1,"Cosmopolitan_B1.1"
"Cosmopolitan","-","-","-",0,"RABV"
"Cosmopolitan AM3b_A1","Brazil","2002","2010",0,"Cosmopolitan_A1.3"
"Cosmopolitan_A1.3","Mexico, Israel, Egypt, -, United States, Peru","1950","2017",0,"Cosmopolitan_A1"
"Cosmopolitan_B1.1","Tajikistan, Azerbaijan, Georgia, Mongolia, Russia, Kazakhstan, Iran, China, -, Poland, Ukraine, Moldova","2001","2023",0,"Cosmopolitan_B1"
"Cosmopolitan_B1","Russia, China, Hungary, -, Romania","1991","2017",0,"Cosmopolitan_A1.1.1"
"Cosmopolitan_A1.1.1","Serbia, -, Italy, Bosnia and Herzegovina, Germany","1972","2009",0,"Cosmopolitan_A1.1"
"Cosmopolitan_A1.1","Madagascar, Montenegro, Serbia","1978","2004",0,"Cosmopolitan_A1"
